query,answer,domains,subset,base_template,chosen_template
Can you plot the distribution of both total visits and average session duration between October 12 and November 6??,"['analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""total_visits"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-12"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",['analytics'],analytics,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??
Please plot for me the distribution of engaged users and average session duration between October 14 and November 6,"['analytics.create_plot.func(time_min=""2023-10-14"", time_max=""2023-11-06"", value_to_plot=""user_engaged"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-14"", time_max=""2023-11-06"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",['analytics'],analytics,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Please plot for me the distribution of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}
Please plot for me the distribution of total visits and average session duration between November 15 and November 24,"['analytics.create_plot.func(time_min=""2023-11-15"", time_max=""2023-11-24"", value_to_plot=""total_visits"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-11-15"", time_max=""2023-11-24"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",['analytics'],analytics,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Please plot for me the distribution of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}
I need a histogram of average session duration and engaged users between November 3 and November 19,"['analytics.create_plot.func(time_min=""2023-11-03"", time_max=""2023-11-19"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-11-03"", time_max=""2023-11-19"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",['analytics'],analytics,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,I need a histogram of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}
Please plot for me the distribution of engaged users and total visits between September 3 and November 2,"['analytics.create_plot.func(time_min=""2023-09-03"", time_max=""2023-11-02"", value_to_plot=""user_engaged"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-09-03"", time_max=""2023-11-02"", value_to_plot=""total_visits"", plot_type=""histogram"")']",['analytics'],analytics,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Please plot for me the distribution of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}
Please plot for me the distribution of total visits and average session duration between November 24 and November 28,"['analytics.create_plot.func(time_min=""2023-11-24"", time_max=""2023-11-28"", value_to_plot=""total_visits"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-11-24"", time_max=""2023-11-28"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")']",['analytics'],analytics,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,Please plot for me the distribution of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}
I need a histogram of average session duration and engaged users between October 9 and October 26,"['analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""session_duration_seconds"", plot_type=""histogram"")', 'analytics.create_plot.func(time_min=""2023-10-09"", time_max=""2023-10-26"", value_to_plot=""user_engaged"", plot_type=""histogram"")']",['analytics'],analytics,Can you plot the distribution of both {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}??,I need a histogram of {natural_language_metric} and {natural_language_metric_2} between {natural_language_date} and {natural_language_date_max}
"was total visits less than 3 at any time since September 13? If so, please plot it as a line chart",[],['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, please plot it as a line chart"
Can you make a line chart of engaged users since October 24 if it was less than 11 since at any time October 24?,"['analytics.create_plot.func(time_min=""2023-10-24"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since {natural_language_date} if it was {more_or_less} than {threshold} since at any time {natural_language_date}?
"was total visits more than 3 at any time since October 28? If so, please plot it as a line chart","['analytics.create_plot.func(time_min=""2023-10-28"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, please plot it as a line chart"
"If average session duration was more than 2 at any time since October 29, make a line plot of it since then","['analytics.create_plot.func(time_min=""2023-10-29"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then"
"was engaged users less than 1 at any time since September 7? If so, please plot it as a line chart","['analytics.create_plot.func(time_min=""2023-09-07"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, please plot it as a line chart"
"was total visits more than 3 at any time since October 6? If so, please plot it as a line chart","['analytics.create_plot.func(time_min=""2023-10-06"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, please plot it as a line chart"
"was average session duration more than 19 at any time since November 5? If so, please plot it as a line chart","['analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then","was {natural_language_metric} {more_or_less} than {threshold} at any time since {natural_language_date}? If so, please plot it as a line chart"
Can you make a line chart of total visits since September 24 if it was more than 21 since at any time September 24?,[],['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since {natural_language_date} if it was {more_or_less} than {threshold} since at any time {natural_language_date}?
Can you make a line chart of engaged users since October 6 if it was more than 1 since at any time October 6?,"['analytics.create_plot.func(time_min=""2023-10-06"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since {natural_language_date} if it was {more_or_less} than {threshold} since at any time {natural_language_date}?
Can you make a line chart of engaged users since September 9 if it was more than 5 since at any time September 9?,"['analytics.create_plot.func(time_min=""2023-09-09"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} at any time since {natural_language_date}, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since {natural_language_date} if it was {more_or_less} than {threshold} since at any time {natural_language_date}?
Make bar charts showing average session duration and engaged users since 2023-09-04,"['analytics.create_plot.func(time_min=""2023-09-04"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-09-04"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")']",['analytics'],analytics,Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min}
can you make bar charts of average session duration and total visits since 2023-11-05?,"['analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-05"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']",['analytics'],analytics,Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},can you make bar charts of {natural_language_metric} and {natural_language_metric_2} since {date_min}?
I need bar charts of total visits and engaged users since 2023-11-10,"['analytics.create_plot.func(time_min=""2023-11-10"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-10"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")']",['analytics'],analytics,Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},I need bar charts of {natural_language_metric} and {natural_language_metric_2} since {date_min}
Make bar charts showing engaged users and average session duration since 2023-09-24,"['analytics.create_plot.func(time_min=""2023-09-24"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-09-24"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",['analytics'],analytics,Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min}
I need bar charts of average session duration and total visits since 2023-11-03,"['analytics.create_plot.func(time_min=""2023-11-03"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-03"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']",['analytics'],analytics,Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},I need bar charts of {natural_language_metric} and {natural_language_metric_2} since {date_min}
Make bar charts showing average session duration and total visits since 2023-11-17,"['analytics.create_plot.func(time_min=""2023-11-17"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-17"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")']",['analytics'],analytics,Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min}
Make bar charts showing total visits and engaged users since 2023-11-17,"['analytics.create_plot.func(time_min=""2023-11-17"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-17"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")']",['analytics'],analytics,Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min}
Make bar charts showing engaged users and average session duration since 2023-11-23,"['analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-23"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",['analytics'],analytics,Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min}
can you make bar charts of engaged users and average session duration since 2023-11-02?,"['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",['analytics'],analytics,Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},can you make bar charts of {natural_language_metric} and {natural_language_metric_2} since {date_min}?
I need bar charts of engaged users and average session duration since 2023-10-14,"['analytics.create_plot.func(time_min=""2023-10-14"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""bar"")', 'analytics.create_plot.func(time_min=""2023-10-14"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""bar"")']",['analytics'],analytics,Make bar charts showing {natural_language_metric} and {natural_language_metric_2} since {date_min},I need bar charts of {natural_language_metric} and {natural_language_metric_2} since {date_min}
"Was total visits more than 21 at any time in the last 1 weeks? If so, please plot it as a line chart",[],['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then","Was {natural_language_metric} {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks? If so, please plot it as a line chart"
Can you make a line chart of average session duration since the last 2 weeks if it was more than 2 at any time in the last 2 weeks?,"['analytics.create_plot.func(time_min=""2023-11-16"", time_max=""2023-11-29"", value_to_plot=""session_duration_seconds"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since the last {past_n_weeks} weeks if it was {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks?
"If engaged users was more than 11 any time in the last 1 weeks, make a line plot of it since then",[],['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then","If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then"
Can you make a line chart of total visits since the last 4 weeks if it was more than 10 at any time in the last 4 weeks?,"['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since the last {past_n_weeks} weeks if it was {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks?
"Was total visits less than 3 at any time in the last 1 weeks? If so, please plot it as a line chart",[],['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then","Was {natural_language_metric} {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks? If so, please plot it as a line chart"
"Was total visits more than 10 at any time in the last 2 weeks? If so, please plot it as a line chart","['analytics.create_plot.func(time_min=""2023-11-16"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then","Was {natural_language_metric} {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks? If so, please plot it as a line chart"
"Was engaged users more than 11 at any time in the last 3 weeks? If so, please plot it as a line chart",[],['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then","Was {natural_language_metric} {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks? If so, please plot it as a line chart"
"Was average session duration less than 2 at any time in the last 2 weeks? If so, please plot it as a line chart",[],['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then","Was {natural_language_metric} {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks? If so, please plot it as a line chart"
Can you make a line chart of total visits since the last 5 weeks if it was more than 21 at any time in the last 5 weeks?,[],['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since the last {past_n_weeks} weeks if it was {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks?
Can you make a line chart of engaged users since the last 4 weeks if it was less than 5 at any time in the last 4 weeks?,"['analytics.create_plot.func(time_min=""2023-11-02"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} was {more_or_less} than {threshold} any time in the last {past_n_weeks} weeks, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since the last {past_n_weeks} weeks if it was {more_or_less} than {threshold} at any time in the last {past_n_weeks} weeks?
"Is engaged users more than 5% lower than September 25? If so, please plot it as a line chart",[],['analytics'],analytics,"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}? If so, please plot it as a line chart"
Can you make a line chart of engaged users since October 3 if it was more than 3% lower than October 3?,"['analytics.create_plot.func(time_min=""2023-10-03"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since {natural_language_date} if it was more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}?
"Is engaged users more than 5% higher than September 26? If so, please plot it as a line chart",[],['analytics'],analytics,"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}? If so, please plot it as a line chart"
"Is total visits more than 5% lower than September 28? If so, please plot it as a line chart","['analytics.create_plot.func(time_min=""2023-09-28"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}? If so, please plot it as a line chart"
Can you make a line chart of total visits since September 15 if it was more than 3% lower than September 15?,[],['analytics'],analytics,"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since {natural_language_date} if it was more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}?
"If engaged users is more than 3% higher than November 18, make a line plot of it since then","['analytics.create_plot.func(time_min=""2023-11-18"", time_max=""2023-11-29"", value_to_plot=""user_engaged"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then"
"Is total visits more than 10% lower than October 21? If so, please plot it as a line chart","['analytics.create_plot.func(time_min=""2023-10-21"", time_max=""2023-11-29"", value_to_plot=""total_visits"", plot_type=""line"")']",['analytics'],analytics,"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then","Is {natural_language_metric} more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}? If so, please plot it as a line chart"
"If engaged users is more than 10% lower than November 24, make a line plot of it since then",[],['analytics'],analytics,"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then","If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then"
Can you make a line chart of engaged users since October 21 if it was more than 10% higher than October 21?,[],['analytics'],analytics,"If {natural_language_metric} is more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}, make a line plot of it since then",Can you make a line chart of {natural_language_metric} since {natural_language_date} if it was more than {natural_language_growth_threshold} {higher_or_lower} than {natural_language_date}?
